 Region	ISO639-3 Language Code	 Language (English Translation)	 Site Name	 News	 Radio	 Video	 TV	 Direct		 txt files (json files)
East and Southeast Asia	vie	Vietnamese	Tiếng Việt	https://www.voatiengviet.com/	https://www.voatiengviet.com/radio	https://www.voatiengviet.com/p/3863.html	https://www.voatiengviet.com/tv			http://web.archive.org/cdx/search/cdx?url=voatiengviet.com*&output=txt
Africa	orm	Afan Oromo	Afaan Oromoo	https://www.voaafaanoromoo.com/	https://www.voaafaanoromoo.com/radio	https://www.voaafaanoromoo.com/Viidiyoo				http://web.archive.org/cdx/search/cdx?url=voaafaanoromoo.com*&output=txt
Africa	amh	Amharic	አማርኛ	https://amharic.voanews.com/	https://amharic.voanews.com/radio	https://amharic.voanews.com/p/5398.html	https://amharic.voanews.com/programs/tv			http://web.archive.org/cdx/search/cdx?url=amharic.voanews.com*&output=txt
Africa	bam	Bambara (French)	Bambara	https://www.voabambara.com/	https://www.voabambara.com/radio	https://www.voabambara.com/z/5123	https://www.voabambara.com/tv			http://web.archive.org/cdx/search/cdx?url=voabambara.com*&output=txt
Africa	fra	French 	Français	https://www.voaafrique.com/	https://www.voaafrique.com/radio		https://www.voaafrique.com/tv			http://web.archive.org/cdx/search/cdx?url=voaafrique.com*&output=txt
Africa	hau	Hausa	Hausa	https://www.voahausa.com/	https://www.voahausa.com/radio	https://www.voahausa.com/bidiyo, https://www.voahausa.com/taskar-voa				http://web.archive.org/cdx/search/cdx?url=voahausa.com*&output=txt
Africa	kin	Kinyarwanda, Kirundi	Kinyarwanda / Kirundi	https://www.radiyoyacuvoa.com/	https://www.radiyoyacuvoa.com/radio					http://web.archive.org/cdx/search/cdx?url=radiyoyacuvoa.com*&output=txt
Africa	lin	Lingala	Lingala	https://www.voalingala.com/	https://www.voalingala.com/radio					http://web.archive.org/cdx/search/cdx?url=voalingala.com*&output=txt
Africa	nde	Ndebele	Ndebele	https://www.voandebele.com/	https://www.voandebele.com/radio		https://www.voandebele.com/tv			http://web.archive.org/cdx/search/cdx?url=voandebele.com*&output=txt
Africa	por	Portuguese	Português	https://www.voaportugues.com/	https://www.voaportugues.com/radio	https://www.voaportugues.com/z/4525				http://web.archive.org/cdx/search/cdx?url=voaportugues.com*&output=txt
Africa	sna	Shona	Shona	https://www.voashona.com/	https://www.voashona.com/radio		https://www.voashona.com/tv			http://web.archive.org/cdx/search/cdx?url=voashona.com*&output=txt
Africa	som	Somali	Soomaaliga	https://www.voasomali.com/	https://www.voasomali.com/radio	https://www.voasomali.com/qubanaha-voa				http://web.archive.org/cdx/search/cdx?url=voasomali.com*&output=txt
Africa	swh	Swahili (Kiswahili)	Kiswahili	https://www.voaswahili.com/	https://www.voaswahili.com/radio	https://www.voaswahili.com/duniani-leo, https://www.voaswahili.com/washington-bureau, https://www.voaswahili.com/maisha-na-afya, https://www.voaswahili.com/zulia-jekundu 				http://web.archive.org/cdx/search/cdx?url=voaswahili.com*&output=txt
Africa	tir	Tigrigna	ትግርኛ	https://tigrigna.voanews.com/	https://tigrigna.voanews.com/radio	https://tigrigna.voanews.com/z/3314, https://tigrigna.voanews.com/z/3478, https://tigrigna.voanews.com/z/3313	https://tigrigna.voanews.com/programs/tv			http://web.archive.org/cdx/search/cdx?url=tigrigna.voanews.com*&output=txt
Africa	eng	English	Zimbabwe	https://www.voazimbabwe.com/	https://www.voazimbabwe.com/radio		https://www.voazimbabwe.com/tv			http://web.archive.org/cdx/search/cdx?url=voazimbabwe.com*&output=txt
Middle East and North Africa	fas	Persian (Farsi)	فارسی	https://ir.voanews.com/			https://ir.voanews.com/tv, https://ir.voanews.com/watch/programs 			http://web.archive.org/cdx/search/cdx?url=ir.voanews.com*&output=txt
Middle East and North Africa	kur	Kurdish	كوردی	https://www.dengiamerika.com/	https://www.dengiamerika.com/radio					http://web.archive.org/cdx/search/cdx?url=dengiamerika.com*&output=txt
Middle East and North Africa	kur	Kurdish	Kurdi	https://www.dengeamerika.com/	https://www.dengeamerika.com/radio, https://www.dengeamerika.com/z/2233 	https://www.dengeamerika.com/z/2549				http://web.archive.org/cdx/search/cdx?url=dengeamerika.com*&output=txt
Middle East and North Africa	tur	Turkish	Türkçe	https://www.amerikaninsesi.com/		https://www.amerikaninsesi.com/z/2123	https://www.amerikaninsesi.com/tv			http://web.archive.org/cdx/search/cdx?url=amerikaninsesi.com*&output=txt
Latin America	hat	Haitian Creole	Creole	https://www.voanouvel.com/	https://www.voanouvel.com/radio	https://www.voanouvel.com/z/581	https://www.voanouvel.com/tv			http://web.archive.org/cdx/search/cdx?url=amerikaninsesi.com*&output=txt
Latin America	spa	Spanish	Español	https://www.vozdeamerica.com/	https://www.voanoticias.com/radio		https://www.voanoticias.com/tv	https://www.usagmdirect.com/es-ES		http://web.archive.org/cdx/search/cdx?url=vozdeamerica.com*&output=txt
East & Southeast Asia	rhg	Rohingya			https://www.voabangla.com/z/5895					
Africa	sag	Sango			https://www.voaafrique.com/live/audio/142/5903083					
Africa	wol	Wolof								
